"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","is_billpaid","month","year","receivedamt","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"132869","2023-02-15","Billing","5103","5079","24","C001",None,"37","0","1","2023",None,"0","liza1973","","0000000495-01",None
"132870","2023-02-15","Billing","1433","1433","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000499-01",None
"132871","2023-02-15","Billing","5321","5218","103","C001",None,"274","0","1","2023",None,"0","liza1973","","0000000506-01",None
"132872","2023-02-15","Billing","1839","1839","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000514-01",None
"132873","2023-02-15","Payment",None,None,None,None,None,None,"0","8","2022",None,"25","liza1973","","0000000131-01",None
"132874","2023-02-15","Received Amount",None,None,None,None,None,None,"0","8","2022","25",None,"liza1973","123","0000000131-01",None
"132875","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000000131-01",None
"132876","2023-02-15","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","123","0000000131-01",None
"132877","2023-02-15","Billing","10866","10805","61","C001",None,"148","0","1","2023",None,"0","liza1973","","0000000434-01",None
"132878","2023-02-15","Billing","2656","2656","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000541-01",None
"132879","2023-02-15","Billing","520","519","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001908-01",None
"132880","2023-02-15","Billing","1475","1421","54","C001",None,"127","0","1","2023",None,"0","liza1973","","0000001909-01",None
"132881","2023-02-15","Billing","95","92","3","C002",None,"30","0","1","2023",None,"0","liza1973","","0000001972-01",None
"132882","2023-02-15","Billing","461","452","9","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001973-01",None
"132883","2023-02-15","Billing","171","171","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002009-01",None
"132884","2023-02-15","Billing","283","262","21","C001",None,"28","0","1","2023",None,"0","liza1973","","0000002019-01",None
"132885","2023-02-15","Billing","315","292","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000002030-01",None
"132886","2023-02-15","Billing","14","13","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002044-01",None
"132887","2023-02-15","Billing","83","78","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002059-01",None
"132888","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","75",None,"liza1973","9963831","0000002106-01",None
"132889","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000002106-01",None
"132890","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000002106-01",None
"132891","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000002106-01",None
"132892","2023-02-15","Payment",None,None,None,None,None,None,"0","6","2022",None,"25","liza1973","","0000001696-01",None
"132893","2023-02-15","Received Amount",None,None,None,None,None,None,"0","6","2022","25",None,"liza1973","123","0000001696-01",None
"132894","2023-02-15","Payment",None,None,None,None,None,None,"0","8","2022",None,"25","liza1973","","0000001696-01",None
"132895","2023-02-15","Received Amount",None,None,None,None,None,None,"0","8","2022","25",None,"liza1973","123","0000001696-01",None
"132896","2023-02-15","Payment",None,None,None,None,None,None,"0","9","2022",None,"25","liza1973","","0000001696-01",None
"132897","2023-02-15","Received Amount",None,None,None,None,None,None,"0","9","2022","25",None,"liza1973","123","0000001696-01",None
"132898","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000001696-01",None
"132899","2023-02-15","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","123","0000001696-01",None
"132900","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001696-01",None
"132901","2023-02-15","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","123","0000001696-01",None
"132902","2023-02-15","Billing","1715","1689","26","C001",None,"43","0","1","2023",None,"0","liza1973","","0000001674-01",None
"132903","2023-02-15","Billing","647","608","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001684-01",None
"132904","2023-02-15","Billing","679","652","27","C001",None,"46","0","1","2023",None,"0","liza1973","","0000001675-01",None
"132905","2023-02-15","Billing","1257","1149","108","C001",None,"289","0","1","2023",None,"0","liza1973","","0000001677-01",None
"132906","2023-02-15","Billing","907","0","907","C001",None,"2686","0","1","2023",None,"0","liza1973","","0000001678-01",None
"132907","2023-02-15","Billing","894","0","894","C001",None,"2647","0","12","2022",None,"0","liza1973","","0000001678-01",None
"132908","2023-02-15","Billing","916","891","25","C001",None,"40","0","1","2023",None,"0","liza1973","","0000001679-01",None
"132909","2023-02-15","Billing","1105","1077","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000001680-01",None
"132910","2023-02-15","Billing","726","717","9","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001207-01",None
"132911","2023-02-15","Billing","217","217","217","C001",None,"616","0","1","2023",None,"0","liza1973","","0000001358-01",None
"132912","2023-02-15","Billing","217","0","217","C001",None,"616","0","12","2022",None,"0","liza1973","","0000001358-01",None
"132913","2023-02-15","Billing","950","919","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001681-01",None
"132914","2023-02-15","Billing","1175","1124","51","C001",None,"118","0","1","2023",None,"0","liza1973","","0000001682-01",None
"132915","2023-02-15","Billing","3636","3484","152","C001",None,"421","0","1","2023",None,"0","liza1973","","0000001683-01",None
"132916","2023-02-15","Billing","459","459","0","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001657-01",None
"132917","2023-02-15","Billing","801","785","16","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001659-01",None
"132918","2023-02-15","Billing","2148","2021","127","C001",None,"346","0","1","2023",None,"0","liza1973","","0000001660-01",None
"132919","2023-02-15","Billing","1151","1074","77","C001",None,"196","1","1","2023",None,"0","zen1971","","0000000233-01",None
"132920","2023-02-15","Billing","1955","1936","19","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001661-01",None
"132921","2023-02-15","Billing","2391","2291","100","C001",None,"265","0","1","2023",None,"0","liza1973","","0000001662-01",None
"132922","2023-02-15","Billing","330","323","7","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001664-01",None
"132923","2023-02-15","Billing","1491","1452","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001665-01",None
"132924","2023-02-15","Billing","403","393","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001191-01",None
"132925","2023-02-15","Billing","521","503","18","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001698-01",None
"132926","2023-02-15","Billing","2597","2589","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001190-01",None
"132927","2023-02-15","Billing","2486","2472","14","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001263-01",None
"132928","2023-02-15","Billing","611","598","13","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001700-01",None
"132929","2023-02-15","Billing","2050","2019","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001701-01",None
"132930","2023-02-15","Billing","1708","1641","67","C001",None,"166","0","1","2023",None,"0","liza1973","","0000001702-01",None
"132931","2023-02-15","Billing","2163","2132","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001703-01",None
"132932","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","639",None,"zen1971","9963553","0000000233-01",None
"132933","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"196",None,"","0000000233-01",None
"132934","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"184",None,"","0000000233-01",None
"132935","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"259",None,"","0000000233-01",None
"132936","2023-02-15","Billing","631","626","5","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001707-01",None
"132937","2023-02-15","Billing","1811","1785","26","C001",None,"43","1","1","2023",None,"0","liza1973","","0000001708-01",None
"132938","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"43",None,"","0000001708-01",None
"132939","2023-02-15","Billing","981","981","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001709-01",None
"132940","2023-02-15","Billing","2245","2133","112","C001",None,"301","0","1","2023",None,"0","liza1973","","0000001710-01",None
"132941","2023-02-15","Billing","1641","1553","88","C001",None,"229","0","1","2023",None,"0","liza1973","","0000001711-01",None
"132942","2023-02-15","Billing","1084","1061","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001712-01",None
"132943","2023-02-15","Billing","1092","1037","55","C001",None,"130","0","1","2023",None,"0","liza1973","","0000001673-01",None
"132944","2023-02-15","Billing","3813","3732","81","C001",None,"208","0","1","2023",None,"0","liza1973","","0000001713-01",None
"132945","2023-02-15","Billing","5629","5611","18","C001",None,"25","1","1","2023",None,"0","zen1971","","0000000760-01",None
"132946","2023-02-15","Billing","1313","1313","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001723-01",None
"132947","2023-02-15","Billing","558","543","15","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001726-01",None
"132948","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","zen1971","","0000000760-01",None
"132949","2023-02-15","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"zen1971","9963554","0000000760-01",None
"132950","2023-02-15","Billing","2721","2710","11","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000912-01",None
"132951","2023-02-15","Billing","2690","2685","5","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001226-01",None
"132952","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001274-01",None
"132953","2023-02-15","Billing","805","572","233","C001",None,"664","0","1","2023",None,"0","liza1973","","0000001745-01",None
"132954","2023-02-15","Billing","5766","5746","20","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001171-01",None
"132955","2023-02-15","Billing","5465","5407","58","C001",None,"139","0","1","2023",None,"0","liza1973","","0000001221-01",None
"132956","2023-02-15","Billing","4660","4634","26","C001",None,"43","0","1","2023",None,"0","liza1973","","0000001015-01",None
"132957","2023-02-15","Billing","4090","4067","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001089-01",None
"132958","2023-02-15","Billing","2319","2293","26","C001",None,"43","1","1","2023",None,"0","zen1971","","0000000915-01",None
"132959","2023-02-15","Billing","2645","2629","-2629","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000916-01",None
"132960","2023-02-15","Billing","869","851","-851","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000905-01",None
"132961","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001131-01",None
"132962","2023-02-15","Billing","2686","2670","-2670","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000933-01",None
"132963","2023-02-15","Billing","7123","7122","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001031-01",None
"132964","2023-02-15","Billing","1442","1442","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001016-01",None
"132965","2023-02-15","Billing","3026","3025","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001017-01",None
"132966","2023-02-15","Billing","4120","4109","11","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000951-01",None
"132967","2023-02-15","Billing","1677","1518","159","C001",None,"442","0","1","2023",None,"0","liza1973","","0000001157-01",None
"132968","2023-02-15","Billing","486","456","30","C001",None,"55","0","1","2023",None,"0","liza1973","","0000001018-01",None
"132969","2023-02-15","Billing","9770","9770","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001099-01",None
"132970","2023-02-15","Billing","8277","8277","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000989-01",None
"132971","2023-02-15","Billing","1771","1735","36","C001",None,"73","0","1","2023",None,"0","liza1973","","0000000990-01",None
"132972","2023-02-15","Billing","7133","7109","24","C001",None,"37","1","1","2023",None,"0","liza1973","","0000000991-01",None
"132973","2023-02-15","Billing","6869","6755","114","C001",None,"307","0","1","2023",None,"0","liza1973","","0000000992-01",None
"132974","2023-02-15","Billing","886","886","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001066-01",None
"132975","2023-02-15","Billing","5791","5732","59","C001",None,"142","0","1","2023",None,"0","liza1973","","0000000997-01",None
"132976","2023-02-15","Billing","7040","7032","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001013-01",None
"132977","2023-02-15","Billing","542","524","18","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001720-01",None
"132978","2023-02-15","Billing","1090","1090","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001721-01",None
"132979","2023-02-15","Billing","3847","3782","65","C001",None,"160","0","1","2023",None,"0","liza1973","","0000001264-01",None
"132980","2023-02-15","Billing","1069","1069","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001292-01",None
"132981","2023-02-15","Billing","3553","3553","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001348-01",None
"132982","2023-02-15","Billing","3373","3373","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001850-01",None
"132983","2023-02-15","Billing","1453","1414","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001363-01",None
"132984","2023-02-15","Billing","2132","2120","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001851-01",None
"132985","2023-02-15","Billing","1646","1618","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000001553-01",None
"132986","2023-02-15","Billing","186","167","19","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001529-01",None
"132987","2023-02-15","Billing","1745","1744","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001526-01",None
"132988","2023-02-15","Billing","752","746","6","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001542-01",None
"132989","2023-02-15","Billing","8997","8834","163","C001",None,"454","0","1","2023",None,"0","liza1973","","0000001579-01",None
"132990","2023-02-15","Billing","2224","2189","35","C001",None,"70","0","1","2023",None,"0","liza1973","","0000001200-01",None
"132991","2023-02-15","Billing","945","921","24","C001",None,"37","0","1","2023",None,"0","liza1973","","0000001473-01",None
"132992","2023-02-15","Billing","2134","2103","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001852-01",None
"132993","2023-02-15","Billing","2999","0","2999","C001",None,"8962","0","1","2023",None,"0","liza1973","","0000001020-01",None
"132994","2023-02-15","Billing","2999","2999","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001020-01",None
"132995","2023-02-15","Billing","2459","2459","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001570-01",None
"132996","2023-02-15","Billing","123","119","4","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001528-01",None
"132997","2023-02-15","Billing","987","906","81","C001",None,"208","0","1","2023",None,"0","liza1973","","0000001544-01",None
"132998","2023-02-15","Billing","3723","3526","197","C001",None,"556","0","1","2023",None,"0","liza1973","","0000001158-01",None
"132999","2023-02-15","Billing","3883","3798","85","C001",None,"220","0","1","2023",None,"0","liza1973","","0000001029-01",None
"133000","2023-02-15","Billing","6975","6956","19","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000913-01",None
"133001","2023-02-15","Billing","1341","1341","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000994-01",None
"133002","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001237-01",None
"133003","2023-02-15","Billing","1225","1201","-1201","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001238-01",None
"133004","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001236-01",None
"133005","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001239-01",None
"133006","2023-02-15","Billing","2293","2264","29","C001",None,"52","0","1","2023",None,"0","liza1973","","0000000524-01",None
"133007","2023-02-15","Billing","859","856","3","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001370-01",None
"133008","2023-02-15","Billing","1303","1272","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001757-01",None
"133009","2023-02-15","Billing","407","406","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001760-01",None
"133010","2023-02-15","Billing","4933","4779","154","C001",None,"427","0","1","2023",None,"0","liza1973","","0000001751-01",None
"133011","2023-02-15","Billing","522","499","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001759-01",None
"133012","2023-02-15","Billing","1562","1550","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000788-01",None
"133013","2023-02-15","Billing","4319","4293","26","C001",None,"43","0","1","2023",None,"0","zen1971","","0000000914-01",None
"133014","2023-02-15","Billing","7018","6681","337","C001",None,"976","0","1","2023",None,"0","liza1973","","0000000978-01",None
"133015","2023-02-15","Billing","1312","1221","91","C001",None,"238","0","1","2023",None,"0","liza1973","","0000000621-01",None
"133016","2023-02-15","Billing","1750","1718","32","C001",None,"61","0","1","2023",None,"0","liza1973","","0000000859-01",None
"133017","2023-02-15","Billing","666","637","29","C001",None,"52","0","1","2023",None,"0","liza1973","","0000001854-01",None
"133018","2023-02-15","Billing","2096","1990","106","C001",None,"283","0","1","2023",None,"0","liza1973","","0000001302-01",None
"133019","2023-02-15","Billing","175","174","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000474-01",None
"133020","2023-02-15","Billing","4196","4195","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001804-01",None
"133021","2023-02-15","Billing","237","237","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001993-01",None
"133022","2023-02-15","Billing","1370","1362","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001987-01",None
"133023","2023-02-15","Billing","262","259","3","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001992-01",None
"133024","2023-02-15","Billing","428","0","428","C001",None,"1249","0","1","2023",None,"0","liza1973","","0000001949-01",None
"133025","2023-02-15","Billing","428","428","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001949-01",None
"133026","2023-02-15","Billing","634","612","22","C001",None,"31","0","1","2023",None,"0","liza1973","","0000001023-01",None
"133027","2023-02-15","Billing","128","121","7","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002022-01",None
"133028","2023-02-15","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001559-01",None
"133029","2023-02-15","Billing","253","227","26","C001",None,"43","0","1","2023",None,"0","liza1973","","0000002047-01",None
"133030","2023-02-15","Billing","0","0","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001271-01",None
"133031","2023-02-15","Billing","0","0","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001279-01",None
"133032","2023-02-15","Billing","0","0","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001274-01",None
"133033","2023-02-15","Billing","220","164","56","C001",None,"133","0","1","2023",None,"0","liza1973","","0000002048-01",None
"133034","2023-02-15","Billing","207","187","20","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002069-01",None
"133035","2023-02-15","Billing","10386","10360","-10360","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000779-01",None
"133036","2023-02-15","Billing","0","0","0","C001",None,"25","1","1","2023",None,"0","liza1973","","0000000488-01",None
"133037","2023-02-15","Billing","318","312","6","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001218-01",None
"133038","2023-02-15","Billing","3245","3230","15","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000917-01",None
"133039","2023-02-15","Billing","18737","18600","137","C001",None,"376","0","1","2023",None,"0","zen1971","","0000000918-01",None
"133040","2023-02-15","Billing","1763","0","1763","C001",None,"5254","0","1","2023",None,"0","liza1973","","0000002108-01",None
"133041","2023-02-15","Billing","1564","0","1564","C001",None,"4657","0","12","2022",None,"0","liza1973","","0000002108-01",None
"133042","2023-02-15","Billing","5118","0","5118","C001",None,"15319","0","1","2023",None,"0","liza1973","","0000000998-01",None
"133043","2023-02-15","Billing","3198","3174","24","C001",None,"37","0","1","2023",None,"0","zen1971","","0000001154-01",None
"133044","2023-02-15","Billing","61","0","61","C001",None,"148","0","1","2023",None,"0","liza1973","","0000002112-01",None
"133045","2023-02-15","Billing","19","0","19","C001",None,"25","0","12","2022",None,"0","liza1973","","0000002112-01",None
"133046","2023-02-15","Billing","5224","5224","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000919-01",None
"133047","2023-02-15","Billing","2160","2160","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000920-01",None
"133048","2023-02-16","Payment",None,None,None,None,None,None,"0","7","2022",None,"25","liza1973","","0000001216-01",None
"133049","2023-02-16","Received Amount",None,None,None,None,None,None,"0","7","2022","25",None,"liza1973","9963453","0000001216-01",None
"133050","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001216-01",None
"133051","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963453","0000001216-01",None
"133052","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"808","liza1973","","0000001216-01",None
"133053","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","808",None,"liza1973","9963453","0000001216-01",None
"133054","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"187","liza1973","","0000001216-01",None
"133055","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","187",None,"liza1973","9963453","0000001216-01",None
"133056","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"187","liza1973","","0000001006-01",None
"133057","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","187",None,"liza1973","9963455","0000001006-01",None
"133058","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"265","liza1973","","0000001006-01",None
"133059","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","265",None,"liza1973","9963455","0000001006-01",None
"133060","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"67","liza1973","","0000001298-01",None
"133061","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","67",None,"liza1973","9960927","0000001298-01",None
"133062","2023-02-16","Billing","1789","1750","39","C001",None,"82","1","1","2023",None,"0","liza1973","","0000001298-01",None
"133063","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000002097-01",None
"133064","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963459","0000002097-01",None
"133065","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000002097-01",None
"133066","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963459","0000002097-01",None
"133067","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000002097-01",None
"133068","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963459","0000002097-01",None
"133069","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"244","liza1973","","0000001071-01",None
"133070","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","244",None,"liza1973","9963460","0000001071-01",None
"133071","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","194",None,"liza1973","9963834","0000001298-01",None
"133072","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"82",None,"","0000001298-01",None
"133073","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"112",None,"","0000001298-01",None
"133074","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"130","liza1973","","0000001071-01",None
"133075","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","130",None,"liza1973","9963460","0000001071-01",None
"133076","2023-02-16","Payment",None,None,None,None,None,None,"0","8","2021",None,"138","liza1973","","0000002011-01",None
"133077","2023-02-16","Received Amount",None,None,None,None,None,None,"0","8","2021","138",None,"liza1973","9963461","0000002011-01",None
"133078","2023-02-16","Payment",None,None,None,None,None,None,"0","9","2021",None,"238","liza1973","","0000002011-01",None
"133079","2023-02-16","Received Amount",None,None,None,None,None,None,"0","9","2021","238",None,"liza1973","9963461","0000002011-01",None
"133080","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2021",None,"142","liza1973","","0000002011-01",None
"133081","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2021","142",None,"liza1973","9963461","0000002011-01",None
"133082","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2021",None,"130","liza1973","","0000002011-01",None
"133083","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2021","130",None,"liza1973","9963461","0000002011-01",None
"133084","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2021",None,"30","liza1973","","0000002011-01",None
"133085","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2021","30",None,"liza1973","9963461","0000002011-01",None
"133086","2023-02-16","Payment",None,None,None,None,None,None,"0","4","2022",None,"86","liza1973","","0000002011-01",None
"133087","2023-02-16","Received Amount",None,None,None,None,None,None,"0","4","2022","86",None,"liza1973","9963461","0000002011-01",None
"133088","2023-02-16","Payment",None,None,None,None,None,None,"0","3","2022",None,"122","liza1973","","0000002011-01",None
"133089","2023-02-16","Received Amount",None,None,None,None,None,None,"0","3","2022","122",None,"liza1973","9963461","0000002011-01",None
"133090","2023-02-16","Payment",None,None,None,None,None,None,"0","2","2022",None,"106","liza1973","","0000002011-01",None
"133091","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2022","106",None,"liza1973","9963461","0000002011-01",None
"133092","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2022",None,"82","liza1973","","0000002011-01",None
"133093","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2022","82",None,"liza1973","9963461","0000002011-01",None
"133094","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"91","liza1973","","0000001764-01",None
"133095","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","91",None,"liza1973","9963463","0000001764-01",None
"133096","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"100","liza1973","","0000001764-01",None
"133097","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","100",None,"liza1973","9963463","0000001764-01",None
"133098","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"139","liza1973","","0000000304-01",None
"133099","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","139",None,"liza1973","9963836","0000000304-01",None
"133100","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"106","liza1973","","0000001764-01",None
"133101","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","106",None,"liza1973","9963463","0000001764-01",None
"133102","2023-02-16","Billing","8","0","8","C001",None,"25","1","1","2023",None,"0","liza1973","","0000000306-01",None
"133103","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","75",None,"liza1973","9963835","0000000306-01",None
"133104","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000000306-01",None
"133105","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000306-01",None
"133106","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25",None,"","0000000306-01",None
"133107","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001180-01",None
"133108","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963464","0000001180-01",None
"133109","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000001180-01",None
"133110","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9963464","0000001180-01",None
"133111","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001180-01",None
