"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","month","year","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"24670","2023-02-13","Billing","6717","6689","28","C001",\N,"49","1","2023","0","ryanbohol","","0000000562-01",\N
"24671","2023-02-13","Billing","3993","3968","25","C001",\N,"40","1","2023","0","liza1973","","0000001483-01",\N
"24672","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001552-01",\N
"24673","2023-02-13","Billing","4362","4348","14","C001",\N,"25","1","2023","0","liza1973","","0000001042-01",\N
"24674","2023-02-13","Billing","32500","32436","-32436","C001",\N,"25","1","2023","0","liza1973","","0000001070-01",\N
"24675","2023-02-13","Billing","17309","17224","85","C001",\N,"220","1","2023","0","ryanbohol","","0000000568-01",\N
"24676","2023-02-13","Billing","3420","3040","380","C001",\N,"1105","1","2023","0","liza1973","","0000001413-01",\N
"24677","2023-02-13","Billing","895","866","29","C001",\N,"52","1","2023","0","ryanbohol","","0000000565-01",\N
"24678","2023-02-13","Billing","1825","1818","7","C001",\N,"25","1","2023","0","liza1973","","0000000183-01",\N
"24679","2023-02-13","Billing","991","938","53","C001",\N,"124","1","2023","0","ryanbohol","","0000000578-01",\N
"24680","2023-02-13","Billing","1759","1745","14","C001",\N,"25","1","2023","0","liza1973","","0000001915-01",\N
"24681","2023-02-13","Billing","1664","1664","-16647","C001",\N,"25","1","2023","0","liza1973","","0000001916-01",\N
"24682","2023-02-13","Billing","817","800","17","C001",\N,"25","1","2023","0","liza1973","","0000001903-01",\N
"24683","2023-02-13","Billing","13481","13433","48","C001",\N,"109","1","2023","0","ryanbohol","","0000000581-01",\N
"24684","2023-02-13","Billing","773","759","14","C001",\N,"25","1","2023","0","liza1973","","0000001914-01",\N
"24685","2023-02-13","Billing","3303","0","3303","C001",\N,"9874","1","2023","0","liza1973","","0000000004-01",\N
"24686","2023-02-13","Billing","0","416","-416","C001",\N,"25","1","2023","0","liza1973","","0000000394-01",\N
"24687","2023-02-13","Billing","8675","8670","5","C001",\N,"25","1","2023","0","ryanbohol","","0000000583-01",\N
"24688","2023-02-13","Billing","3303","0","3303","C001",\N,"9874","12","2022","0","liza1973","","0000000004-01",\N
"24689","2023-02-13","Billing","6075","0","6075","C001",\N,"18190","1","2023","0","ryanbohol","","0000000585-01",\N
"24690","2023-02-13","Billing","4228","0","4228","C001",\N,"12649","1","2023","0","liza1973","","0000000041-01",\N
"24691","2023-02-13","Billing","4588","4583","5","C001",\N,"25","1","2023","0","ryanbohol","","0000000588-01",\N
"24692","2023-02-13","Billing","4215","0","4215","C001",\N,"12610","12","2022","0","liza1973","","0000000041-01",\N
"24693","2023-02-13","Billing","3729","3704","25","C001",\N,"40","1","2023","0","ryanbohol","","0000001813-01",\N
"24694","2023-02-13","Billing","1385","1385","0","C001",\N,"25","1","2023","0","liza1973","","0000000039-01",\N
"24695","2023-02-13","Billing","929","923","6","C001",\N,"25","1","2023","0","ryanbohol","","0000001273-01",\N
"24696","2023-02-13","Billing","466","451","15","C001",\N,"25","1","2023","0","liza1973","","0000000035-01",\N
"24697","2023-02-13","Billing","3941","3888","53","C001",\N,"124","1","2023","0","liza1973","","0000001214-01",\N
"24698","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001262-01",\N
"24699","2023-02-13","Billing","2386","2383","3","C001",\N,"25","1","2023","0","ryanbohol","","0000000589-01",\N
"24700","2023-02-13","Billing","2343","0","2343","C001",\N,"6994","1","2023","0","liza1973","","0000001002-01",\N
"24701","2023-02-13","Billing","1600","1576","24","C001",\N,"37","1","2023","0","ryanbohol","","0000001345-01",\N
"24702","2023-02-13","Billing","2341","0","2341","C001",\N,"6988","12","2022","0","liza1973","","0000001002-01",\N
"24703","2023-02-13","Billing","3247","3153","94","C001",\N,"247","1","2023","0","ryanbohol","","0000001815-01",\N
"24704","2023-02-13","Billing","7561","7486","75","C001",\N,"190","1","2023","0","liza1973","","0000001492-01",\N
"24705","2023-02-13","Billing","4681","4535","146","C001",\N,"403","1","2023","0","ryanbohol","","0000001374-01",\N
"24706","2023-02-13","Billing","2332","2234","98","C001",\N,"259","1","2023","0","liza1973","","0000001935-01",\N
"24707","2023-02-13","Billing","2245","2237","8","C001",\N,"25","1","2023","0","ryanbohol","","0000001475-01",\N
"24708","2023-02-13","Billing","3551","3511","40","C001",\N,"85","1","2023","0","liza1973","","0000001060-01",\N
"24709","2023-02-13","Billing","1044","1025","19","C001",\N,"25","1","2023","0","liza1973","","0000001464-01",\N
"24710","2023-02-13","Billing","1703","0","1703","C001",\N,"5074","1","2023","0","ryanbohol","","0000001715-01",\N
"24711","2023-02-13","Billing","4376","4353","23","C001",\N,"34","1","2023","0","liza1973","","0000001059-01",\N
"24712","2023-02-13","Billing","1576","1462","0","C001",\N,"25","1","2023","0","liza1973","","0000001092-01",\N
"24713","2023-02-13","Billing","1998","1983","15","C001",\N,"25","1","2023","0","ryanbohol","","0000001722-01",\N
"24714","2023-02-13","Billing","0","10986","-10986","C001",\N,"25","1","2023","0","liza1973","","0000000351-01",\N
"24715","2023-02-13","Billing","141","139","0","C001",\N,"25","1","2023","0","liza1973","","0000001979-01",\N
"24716","2023-02-13","Billing","0","1695","-1695","C001",\N,"25","1","2023","0","liza1973","","0000001179-01",\N
"24717","2023-02-13","Billing","10716","10691","-10691","C001",\N,"25","1","2023","0","liza1973","","0000000572-01",\N
"24718","2023-02-13","Billing","0","3058","-3058","C001",\N,"25","1","2023","0","liza1973","","0000000443-01",\N
"24719","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000000445-01",\N
"24720","2023-02-13","Billing","0","5079","-5079","C001",\N,"25","1","2023","0","liza1973","","0000000495-01",\N
"24721","2023-02-13","Billing","5278","5223","-5223","C001",\N,"25","1","2023","0","liza1973","","0000001106-01",\N
"24722","2023-02-13","Billing","2154","0","0","C001",\N,"25","1","2023","0","liza1973","","0000000718-01",\N
"24723","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000002051-01",\N
"24724","2023-02-13","Billing","2158","2114","44","C001",\N,"97","1","2023","0","liza1973","","0000000957-01",\N
"24725","2023-02-13","Billing","7386","7364","-7364","C001",\N,"25","1","2023","0","liza1973","","0000000870-01",\N
"24726","2023-02-13","Billing","1029","0","1029","C001",\N,"3052","1","2023","0","ryanbohol","","0000001762-01",\N
"24727","2023-02-13","Billing","4087","4068","19","C001",\N,"25","1","2023","0","liza1973","","0000000576-01",\N
"24728","2023-02-13","Billing","5028","4989","39","C001",\N,"82","1","2023","0","liza1973","","0000001058-01",\N
"24729","2023-02-13","Billing","4263","4263","-4263","C001",\N,"25","1","2023","0","liza1973","","0000001091-01",\N
"24730","2023-02-13","Billing","1399","1365","34","C001",\N,"67","1","2023","0","ryanbohol","","0000000798-01",\N
"24731","2023-02-13","Billing","564","552","12","C001",\N,"25","1","2023","0","liza1973","","0000001078-01",\N
"24732","2023-02-13","Billing","1936","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001110-01",\N
"24733","2023-02-13","Billing","639","632","7","C001",\N,"25","1","2023","0","ryanbohol","","0000001828-01",\N
"24734","2023-02-13","Billing","2306","2181","125","C001",\N,"340","1","2023","0","liza1973","","0000001588-01",\N
"24735","2023-02-13","Billing","0","2291","-2291","C001",\N,"25","1","2023","0","liza1973","","0000001662-01",\N
"24736","2023-02-13","Billing","352","0","352","C001",\N,"1021","1","2023","0","ryanbohol","","0000001810-01",\N
"24737","2023-02-13","Billing","3444","3436","8","C001",\N,"25","1","2023","0","liza1973","","0000001120-01",\N
"24738","2023-02-13","Billing","10154","1087","0","C001",\N,"25","1","2023","0","liza1973","","0000001159-01",\N
"24739","2023-02-13","Billing","379","365","14","C001",\N,"25","1","2023","0","liza1973","","0000001752-01",\N
"24740","2023-02-13","Billing","1982","0","1982","C001",\N,"5911","1","2023","0","ryanbohol","","0000001944-01",\N
"24741","2023-02-13","Billing","1623","1603","20","C001",\N,"25","1","2023","0","liza1973","","0000001126-01",\N
"24742","2023-02-13","Billing","104","0","104","C001",\N,"277","1","2023","0","ryanbohol","","0000001933-01",\N
"24743","2023-02-13","Billing","30","0","30","C001",\N,"55","1","2023","0","ryanbohol","","0000001934-01",\N
"24744","2023-02-13","Billing","2567","2545","22","C001",\N,"31","1","2023","0","liza1973","","0000000617-01",\N
"24745","2023-02-13","Billing","2573","2532","-2532","C001",\N,"25","1","2023","0","liza1973","","0000001100-01",\N
"24746","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000000479-01",\N
"24747","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001597-01",\N
"24748","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001789-01",\N
"24749","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001615-01",\N
"24750","2023-02-13","Billing","3294","3277","17","C001",\N,"25","1","2023","0","ryanbohol","","0000001168-01",\N
"24751","2023-02-13","Billing","3048","2919","129","C001",\N,"352","1","2023","0","liza1973","","0000001047-01",\N
"24752","2023-02-13","Billing","1844","1780","64","C001",\N,"157","1","2023","0","ryanbohol","","0000000584-01",\N
"24753","2023-02-13","Billing","1159","1098","61","C001",\N,"148","1","2023","0","liza1973","","0000001823-01",\N
"24754","2023-02-13","Billing","2386","2238","148","C001",\N,"409","1","2023","0","ryanbohol","","0000000570-01",\N
"24755","2023-02-13","Billing","1206","1072","134","C001",\N,"367","1","2023","0","liza1973","","0000001843-01",\N
"24756","2023-02-13","Billing","3007","0","3007","C001",\N,"8986","1","2023","0","ryanbohol","","0000000573-01",\N
"24757","2023-02-13","Billing","2979","0","2979","C001",\N,"8902","1","2023","0","liza1973","","0000000379-01",\N
"24758","2023-02-13","Billing","1234","0","0","C001",\N,"25","1","2023","0","liza1973","","0000000606-01",\N
"24759","2023-02-13","Billing","2977","0","2977","C001",\N,"8896","12","2022","0","liza1973","","0000000379-01",\N
"24760","2023-02-13","Billing","428","401","27","C001",\N,"46","1","2023","0","ryanbohol","","0000002000-01",\N
"24761","2023-02-13","Billing","3355","3015","340","C001",\N,"985","1","2023","0","liza1973","","0000001061-01",\N
"24762","2023-02-13","Billing","509","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001113-01",\N
"24763","2023-02-13","Billing","381","0","381","C001",\N,"1108","1","2023","0","ryanbohol","","0000000433-01",\N
"24764","2023-02-13","Billing","1539","0","1539","C001",\N,"4582","1","2023","0","liza1973","","0000001097-01",\N
"24765","2023-02-13","Billing","693","656","37","C001",\N,"76","1","2023","0","ryanbohol","","0000001945-01",\N
"24766","2023-02-13","Billing","1539","0","1539","C001",\N,"4582","12","2022","0","liza1973","","0000001097-01",\N
"24767","2023-02-13","Billing","259","223","36","C001",\N,"73","1","2023","0","ryanbohol","","0000002014-01",\N
"24768","2023-02-13","Billing","6216","6060","156","C001",\N,"433","1","2023","0","liza1973","","0000001096-01",\N
"24769","2023-02-13","Billing","3306","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001134-01",\N
"24770","2023-02-13","Billing","1478","0","1478","C001",\N,"4399","1","2023","0","liza1973","","0000000017-01",\N
"24771","2023-02-13","Billing","298","0","298","C002",\N,"1142","1","2023","0","ryanbohol","","0000002040-01",\N
"24772","2023-02-13","Billing","1426","1312","1426","C001",\N,"4243","12","2022","0","liza1973","","0000000017-01",\N
"24773","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000001133-01",\N
"24774","2023-02-13","Billing","143","0","143","C001",\N,"394","1","2023","0","ryanbohol","","0000002066-01",\N
"24775","2023-02-13","Billing","1274","1209","65","C001",\N,"160","1","2023","0","liza1973","","0000001094-01",\N
"24776","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001131-01",\N
"24777","2023-02-13","Billing","715","554","161","C001",\N,"448","1","2023","0","liza1973","","0000001093-01",\N
"24778","2023-02-13","Billing","3731","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001130-01",\N
"24779","2023-02-13","Billing","644","633","11","C001",\N,"25","1","2023","0","ryanbohol","","0000001884-01",\N
"24780","2023-02-13","Billing","138","0","138","C001",\N,"379","1","2023","0","liza1973","","0000001104-01",\N
"24781","2023-02-13","Billing","138","0","138","C001",\N,"379","12","2022","0","liza1973","","0000001104-01",\N
"24782","2023-02-13","Billing","1122","0","1122","C001",\N,"3331","1","2023","0","liza1973","","0000001587-01",\N
"24783","2023-02-13","Billing","3210","3176","34","C001",\N,"67","1","2023","0","liza1973","","0000001105-01",\N
"24784","2023-02-13","Billing","1059","1032","27","C001",\N,"46","1","2023","0","liza1973","","0000001818-01",\N
"24785","2023-02-13","Billing","758","734","24","C001",\N,"37","1","2023","0","liza1973","","0000001956-01",\N
"24786","2023-02-13","Billing","787","758","-758","C001",\N,"25","1","2023","0","liza1973","","0000001953-01",\N
"24787","2023-02-13","Billing","363","354","9","C001",\N,"25","1","2023","0","liza1973","","0000001961-01",\N
"24788","2023-02-13","Billing","749","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001959-01",\N
"24789","2023-02-13","Billing","58","0","58","C001",\N,"139","1","2023","0","liza1973","","0000001962-01",\N
"24790","2023-02-13","Billing","58","0","58","C001",\N,"139","12","2022","0","liza1973","","0000001962-01",\N
"24791","2023-02-13","Billing","348","337","11","C001",\N,"25","1","2023","0","liza1973","","0000001964-01",\N
"24792","2023-02-13","Billing","61","0","61","C001",\N,"148","1","2023","0","liza1973","","0000001968-01",\N
"24793","2023-02-13","Billing","61","0","61","C001",\N,"148","12","2022","0","liza1973","","0000001968-01",\N
"24794","2023-02-13","Billing","505","0","505","C001",\N,"1480","1","2023","0","liza1973","","0000001967-01",\N
"24795","2023-02-13","Billing","504","470","504","C001",\N,"1477","12","2022","0","liza1973","","0000001967-01",\N
"24796","2023-02-13","Billing","413","392","21","C001",\N,"28","1","2023","0","liza1973","","0000001982-01",\N
"24797","2023-02-13","Billing","650","635","15","C001",\N,"25","1","2023","0","liza1973","","0000001983-01",\N
"24798","2023-02-13","Billing","246","239","7","C001",\N,"25","1","2023","0","liza1973","","0000001793-01",\N
"24799","2023-02-13","Billing","16","0","16","C002",\N,"30","1","2023","0","liza1973","","0000002021-01",\N
"24800","2023-02-13","Billing","15","0","15","C002",\N,"30","12","2022","0","liza1973","","0000002021-01",\N
"24801","2023-02-13","Billing","111","0","111","C001",\N,"298","1","2023","0","liza1973","","0000002045-01",\N
"24802","2023-02-13","Billing","102","0","102","C001",\N,"271","12","2022","0","liza1973","","0000002045-01",\N
"24803","2023-02-13","Billing","4605","0","0","C001",\N,"25","12","2022","0","liza1973","","0000001458-01",\N
"24804","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000001933-01",\N
"24805","2023-02-13","Billing","51","0","51","C001",\N,"118","1","2023","0","liza1973","","0000002056-01",\N
"24806","2023-02-13","Billing","111","0","111","C001",\N,"298","1","2023","0","liza1973","","0000002055-01",\N
"24807","2023-02-13","Billing","8","0","8","C001",\N,"25","1","2023","0","liza1973","","0000002106-01",\N
"24808","2023-02-13","Billing","48","0","48","C001",\N,"109","12","2022","0","liza1973","","0000002056-01",\N
"24809","2023-02-13","Billing","90","0","90","C001",\N,"235","12","2022","0","liza1973","","0000002055-01",\N
"24810","2023-02-13","Billing","6","0","6","C001",\N,"25","12","2022","0","liza1973","","0000002106-01",\N
"24811","2023-02-13","Billing","2922","0","2922","C001",\N,"8731","1","2023","0","liza1973","","0000001122-01",\N
"24812","2023-02-13","Billing","2909","0","2909","C001",\N,"8692","12","2022","0","liza1973","","0000001122-01",\N
"24813","2023-02-13","Billing","949","0","949","C001",\N,"2812","1","2023","0","liza1973","","0000001123-01",\N
"24814","2023-02-13","Billing","928","0","928","C001",\N,"2749","12","2022","0","liza1973","","0000001123-01",\N
"24815","2023-02-13","Billing","968","0","968","C001",\N,"2869","1","2023","0","liza1973","","0000001124-01",\N
"24816","2023-02-13","Billing","958","0","958","C001",\N,"2839","12","2022","0","liza1973","","0000001124-01",\N
"24817","2023-02-13","Billing","1268","0","1268","C001",\N,"3769","1","2023","0","liza1973","","0000001125-01",\N
"24818","2023-02-13","Billing","1268","0","1268","C001",\N,"3769","12","2022","0","liza1973","","0000001125-01",\N
"24819","2023-02-13","Billing","265","0","265","C001",\N,"760","1","2023","0","liza1973","","0000001128-01",\N
"24820","2023-02-13","Billing","259","0","259","C001",\N,"742","12","2022","0","liza1973","","0000001128-01",\N
"24821","2023-02-13","Billing","2216","0","2216","C001",\N,"6613","1","2023","0","liza1973","","0000001129-01",\N
"24822","2023-02-13","Billing","2205","0","2205","C001",\N,"6580","12","2022","0","liza1973","","0000001129-01",\N
"24823","2023-02-13","Billing","40","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001170-01",\N
"24824","2023-02-13","Billing","3693","0","3693","C001",\N,"11044","12","2022","0","liza1973","","0000001130-01",\N
"24825","2023-02-13","Billing","1612","0","1612","C001",\N,"4801","1","2023","0","liza1973","","0000001143-01",\N
"24826","2023-02-13","Billing","1612","0","1612","C001",\N,"4801","12","2022","0","liza1973","","0000001143-01",\N
"24827","2023-02-13","Billing","2576","0","2576","C001",\N,"7693","1","2023","0","liza1973","","0000001186-01",\N
"24828","2023-02-13","Billing","2085","2036","-2036","C001",\N,"25","1","2023","0","liza1973","","0000001235-01",\N
"24829","2023-02-13","Billing","2567","0","2567","C001",\N,"7666","12","2022","0","liza1973","","0000001186-01",\N
"24830","2023-02-13","Billing","3055","0","3055","C001",\N,"9130","1","2023","0","liza1973","","0000001183-01",\N
"24831","2023-02-13","Billing","3032","0","3032","C001",\N,"9061","12","2022","0","liza1973","","0000001183-01",\N
"24832","2023-02-13","Billing","1207","0","1207","C001",\N,"3586","1","2023","0","liza1973","","0000001189-01",\N
"24833","2023-02-13","Billing","1191","0","1191","C001",\N,"3538","12","2022","0","liza1973","","0000001189-01",\N
"24834","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000001238-01",\N
"24835","2023-02-13","Billing","74","0","74","C001",\N,"187","1","2023","0","liza1973","","0000001202-01",\N
"24836","2023-02-13","Billing","74","0","74","C001",\N,"187","12","2022","0","liza1973","","0000001202-01",\N
"24837","2023-02-13","Billing","765","0","765","C001",\N,"2260","1","2023","0","liza1973","","0000001192-01",\N
"24838","2023-02-13","Billing","760","0","760","C001",\N,"2245","12","2022","0","liza1973","","0000001192-01",\N
"24839","2023-02-13","Billing","1660","0","1660","C001",\N,"4945","1","2023","0","liza1973","","0000001194-01",\N
"24840","2023-02-13","Billing","1651","0","1651","C001",\N,"4918","12","2022","0","liza1973","","0000001194-01",\N
"24841","2023-02-13","Billing","1299","0","1299","C001",\N,"3862","1","2023","0","liza1973","","0000001201-01",\N
"24842","2023-02-13","Billing","1280","0","1280","C001",\N,"3805","12","2022","0","liza1973","","0000001201-01",\N
"24843","2023-02-13","Billing","19","0","19","C001",\N,"25","1","2023","0","liza1973","","0000001196-01",\N
"24844","2023-02-13","Billing","4364","0","4364","C001",\N,"13057","12","2022","0","liza1973","","0000001196-01",\N
"24845","2023-02-13","Billing","3668","3650","-3650","C001",\N,"25","1","2023","0","liza1973","","0000001245-01",\N
"24846","2023-02-13","Billing","452","0","452","C001",\N,"1321","1","2023","0","liza1973","","0000001203-01",\N
"24847","2023-02-13","Billing","452","0","452","C001",\N,"1321","12","2022","0","liza1973","","0000001203-01",\N
"24848","2023-02-13","Billing","1577","0","1577","C001",\N,"4696","12","2022","0","liza1973","","0000001204-01",\N
"24849","2023-02-13","Billing","8","0","8","C001",\N,"25","1","2023","0","liza1973","","0000001204-01",\N
"24850","2023-02-13","Billing","1769","0","1769","C001",\N,"5272","1","2023","0","liza1973","","0000001205-01",\N
"24851","2023-02-13","Billing","139","127","0","C001",\N,"25","12","2022","0","liza1973","","0000001979-01",\N
"24852","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000000445-01",\N
"24853","2023-02-13","Billing","0","2154","-2154","C001",\N,"25","12","2022","0","liza1973","","0000000718-01",\N
"24854","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000002051-01",\N
"24855","2023-02-13","Billing","1751","0","1751","C001",\N,"5218","12","2022","0","liza1973","","0000001205-01",\N
"24856","2023-02-13","Billing","30","0","30","C001",\N,"55","1","2023","0","liza1973","","0000001208-01",\N
"24857","2023-02-13","Billing","161","0","161","C001",\N,"448","12","2022","0","liza1973","","0000001208-01",\N
"24858","2023-02-13","Billing","19764","0","19764","C001",\N,"59257","1","2023","0","liza1973","","0000001230-01",\N
"24859","2023-02-13","Billing","19744","0","19744","C001",\N,"59197","12","2022","0","liza1973","","0000001230-01",\N
"24860","2023-02-13","Billing","1296","0","1296","C001",\N,"3853","1","2023","0","liza1973","","0000001269-01",\N
"24861","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001321-01",\N
"24862","2023-02-13","Billing","1281","0","1281","C001",\N,"3808","12","2022","0","liza1973","","0000001269-01",\N
"24863","2023-02-13","Billing","714","0","714","C001",\N,"2107","1","2023","0","liza1973","","0000001426-01",\N
"24864","2023-02-13","Billing","706","0","706","C001",\N,"2083","12","2022","0","liza1973","","0000001426-01",\N
"24865","2023-02-13","Billing","1382","0","1382","C001",\N,"4111","1","2023","0","liza1973","","0000001476-01",\N
"24866","2023-02-13","Billing","1382","0","1382","C001",\N,"4111","12","2022","0","liza1973","","0000001476-01",\N
"24867","2023-02-13","Billing","192","0","192","C001",\N,"541","1","2023","0","liza1973","","0000001477-01",\N
"24868","2023-02-13","Billing","192","0","192","C001",\N,"541","12","2022","0","liza1973","","0000001477-01",\N
"24869","2023-02-13","Billing","4847","0","4847","C001",\N,"14506","1","2023","0","liza1973","","0000001458-01",\N
"24870","2023-02-13","Billing","789","0","789","C001",\N,"2332","1","2023","0","liza1973","","0000001495-01",\N
"24871","2023-02-13","Billing","775","0","775","C001",\N,"2290","12","2022","0","liza1973","","0000001495-01",\N
"24872","2023-02-13","Billing","633","0","633","C001",\N,"1864","1","2023","0","liza1973","","0000001496-01",\N
"24873","2023-02-13","Billing","626","0","626","C001",\N,"1843","12","2022","0","liza1973","","0000001496-01",\N
"24874","2023-02-13","Billing","1183","0","1183","C001",\N,"3514","1","2023","0","liza1973","","0000001497-01",\N
"24875","2023-02-13","Billing","1175","0","1175","C001",\N,"3490","12","2022","0","liza1973","","0000001497-01",\N
"24876","2023-02-13","Billing","2015","0","1998","C001",\N,"5959","1","2023","0","liza1973","","0000001498-01",\N
"24877","2023-02-13","Billing","1998","0","1998","C001",\N,"5959","12","2022","0","liza1973","","0000001498-01",\N
"24878","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001567-01",\N
"24879","2023-02-13","Billing","13","0","13","C001",\N,"25","1","2023","0","liza1973","","0000001523-01",\N
"24880","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001592-01",\N
"24881","2023-02-13","Billing","13","0","13","C001",\N,"25","12","2022","0","liza1973","","0000001523-01",\N
"24882","2023-02-13","Billing","699","0","699","C001",\N,"2062","1","2023","0","liza1973","","0000001524-01",\N
"24883","2023-02-13","Billing","699","0","699","C001",\N,"2062","12","2022","0","liza1973","","0000001524-01",\N
"24884","2023-02-13","Billing","687","0","687","C001",\N,"2026","1","2023","0","liza1973","","0000001525-01",\N
"24885","2023-02-13","Billing","687","0","687","C001",\N,"2026","12","2022","0","liza1973","","0000001525-01",\N
"24886","2023-02-13","Billing","333","0","333","C001",\N,"964","1","2023","0","liza1973","","0000001547-01",\N
"24887","2023-02-13","Billing","333","0","333","C001",\N,"964","12","2022","0","liza1973","","0000001547-01",\N
"24888","2023-02-13","Billing","8969","0","8969","C001",\N,"26872","1","2023","0","liza1973","","0000001548-01",\N
"24889","2023-02-13","Billing","8617","0","8617","C001",\N,"25816","12","2022","0","liza1973","","0000001548-01",\N
"24890","2023-02-13","Billing","742","0","742","C001",\N,"2191","1","2023","0","liza1973","","0000001695-01",\N
"24891","2023-02-13","Billing","817","0","817","C001",\N,"2416","1","2023","0","liza1973","","0000001728-01",\N
"24892","2023-02-13","Billing","595","0","595","C001",\N,"1750","1","2023","0","liza1973","","0000001729-01",\N
"24893","2023-02-13","Billing","475","0","475","C001",\N,"1390","1","2023","0","liza1973","","0000001730-01",\N
"24894","2023-02-13","Billing","613","0","613","C001",\N,"1804","1","2023","0","liza1973","","0000001765-01",\N
"24895","2023-02-13","Billing","1790","0","1790","C001",\N,"5335","1","2023","0","liza1973","","0000001863-01",\N
"24896","2023-02-13","Billing","916","0","916","C001",\N,"2713","1","2023","0","liza1973","","0000001846-01",\N
"24897","2023-02-13","Billing","720","0","720","C001",\N,"2125","1","2023","0","liza1973","","0000001861-01",\N
"24898","2023-02-13","Billing","638","0","638","C001",\N,"1879","1","2023","0","liza1973","","0000001821-01",\N
"24899","2023-02-13","Billing","1478","0","1478","C001",\N,"4399","1","2023","0","liza1973","","0000001223-01",\N
"24900","2023-02-13","Billing","0","0","0","C001",\N,"25","1","2023","0","liza1973","","0000001271-01",\N
"24901","2023-02-13","Billing","1329","0","1329","C001",\N,"3952","1","2023","0","liza1973","","0000001904-01",\N
"24902","2023-02-13","Billing","352","0","352","C001",\N,"1021","1","2023","0","liza1973","","0000001905-01",\N
"24903","2023-02-13","Billing","381","0","381","C001",\N,"1108","1","2023","0","liza1973","","0000001206-01",\N
"24904","2023-02-13","Billing","807","0","807","C001",\N,"2386","1","2023","0","liza1973","","0000001978-01",\N
"24905","2023-02-13","Billing","174","0","174","C001",\N,"487","1","2023","0","liza1973","","0000001859-01",\N
"24906","2023-02-13","Billing","113","0","113","C001",\N,"304","1","2023","0","liza1973","","0000002064-01",\N
"24907","2023-02-13","Billing","732","0","732","C001",\N,"2161","12","2022","0","liza1973","","0000001695-01",\N
"24908","2023-02-13","Billing","803","0","803","C001",\N,"2374","12","2022","0","liza1973","","0000001728-01",\N
"24909","2023-02-13","Billing","587","0","587","C001",\N,"1726","12","2022","0","liza1973","","0000001729-01",\N
"24910","2023-02-13","Billing","467","0","467","C001",\N,"1366","12","2022","0","liza1973","","0000001730-01",\N
"24911","2023-02-13","Billing","613","0","613","C001",\N,"1804","12","2022","0","liza1973","","0000001765-01",\N
"24912","2023-02-13","Billing","1758","0","1758","C001",\N,"5239","12","2022","0","liza1973","","0000001863-01",\N
"24913","2023-02-13","Billing","845","0","845","C001",\N,"2500","12","2022","0","liza1973","","0000001846-01",\N
"24914","2023-02-13","Billing","702","0","702","C001",\N,"2071","12","2022","0","liza1973","","0000001861-01",\N
"24915","2023-02-13","Billing","634","0","634","C001",\N,"1867","12","2022","0","liza1973","","0000001821-01",\N
"24916","2023-02-13","Billing","1449","0","1449","C001",\N,"4312","12","2022","0","liza1973","","0000001223-01",\N
"24917","2023-02-13","Billing","1304","0","1304","C001",\N,"3877","12","2022","0","liza1973","","0000001904-01",\N
"24918","2023-02-13","Billing","352","0","352","C001",\N,"1021","12","2022","0","liza1973","","0000001905-01",\N
"24919","2023-02-13","Billing","381","0","381","C001",\N,"1108","12","2022","0","liza1973","","0000001206-01",\N
"24920","2023-02-13","Billing","802","0","802","C001",\N,"2371","12","2022","0","liza1973","","0000001978-01",\N
"24921","2023-02-13","Billing","164","0","164","C001",\N,"457","12","2022","0","liza1973","","0000001859-01",\N
"24922","2023-02-13","Billing","102","0","102","C001",\N,"271","12","2022","0","liza1973","","0000002064-01",\N
"24923","2023-02-13","Billing","1134","1110","24","C001",\N,"37","1","2023","0","ryanbohol","","0000001001-01",\N
